"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",30.639,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",30.182,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",29.082,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",27.906,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",26.655,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",25.397,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",24.256,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",23.058,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",22.011,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",21.122,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",20.398,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",19.789,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",19.436,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",19.183,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.923,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.682,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.396,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.263,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.467,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.446,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.41,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.313,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",18.136,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",17.825,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",17.491,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",17.12,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",16.732,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",16.402,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",16.114,"Crude Birth Rate"
"country/BRB","BB","Barbados","Count_BirthEvent_LiveBirth_AsFractionOf_Count_Person","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Per1000Persons","Per 1000 people",15.847,"Crude Birth Rate"
