"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1990","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",455000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1991","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",487000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1992","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",498000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1993","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",512000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1994","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",527000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1995","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",566000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1996","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",591000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1997","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",601000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1998","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",658000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","1999","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",716000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2000","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",704000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2001","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",736000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2002","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",765000000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2003","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",781650000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2004","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",803540000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2005","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",834880000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2006","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",851160000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2007","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",940793888.888889,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2008","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",935980000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2009","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",952270000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2010","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",960110000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2011","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",942600000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2012","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",1051050000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2016","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",977886110.666667,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2017","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",974100000,"Annual Electricity Consumption"
"country/BRB","BB","Barbados","Annual_Consumption_Electricity","2018","UNEnergy","https://unstats.un.org/unsd/energystats/data/","","KilowattHour","kWh",942560000,"Annual Electricity Consumption"
