"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4.333,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4.313,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4.269,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4.196,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",4.094,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3.963,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3.807,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3.637,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3.46,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3.284,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",3.113,"Fertility Rate"
"country/BRB","BB","Barbados","FertilityRate_Person_Female","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",2.949,"Fertility Rate"
