"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",80021846.9120401,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",85363759.3050333,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",88782583.4232151,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",99893761.2239743,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",99252731.4101492,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",105021996.817915,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",113195122.715028,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",125553996.63632399,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",125733668.5,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",141393142,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",166210203,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",186826488.654583,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",213725248.885492,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",260767889.18741697,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",311804643.421258,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",402178605.019554,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",435911268.58968,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",495097667.929041,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",552883707.055138,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",670362452.145379,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1012280614.5279199,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1114204743.20091,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1163923830.35847,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1236016506.73694,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1346890071.09829,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1409536120.91682,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1547755183.21484,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1704370307.76115,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1812757917.76463,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2006165166.8075402,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2012131457.2664397,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2020583702.08323,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1957000000,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2063342117.0387301,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2151344901.30761,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2216974096.35559,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2363645403.47039,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2498384129.66738,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2817083478.34734,"Nominal GDP"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",2951822204.54432,"Nominal GDP"
