"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",346.5754566489,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",366.1354989322,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",377.4384562086,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",420.5043893633,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",413.6254319929,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",433.2286795807,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",462.0284523626,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",508.1285705927,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",505.8890661463,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",566.833205048,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",666.4750087214,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",749.8012933225,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",856.0721021777,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1041.729808756,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",1243.3542287421,"Nominal GDP Per Capita"
