"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0.007752238,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0.389464214,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",0.783428912,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",1.970249237,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",2.376247035,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",3.97368,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",11.9365,"Percent of Internet Users"
"country/BRB","BB","Barbados","Count_Person_IsInternetUser_PerCapita","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","100","","",27.8363,"Percent of Internet Users"
