"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",64.564,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.318,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",65.897,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",66.487,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.02,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.376,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.805,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",67.944,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.114,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.44,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.272,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.598,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",68.929,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",69.167,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",69.519,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",69.921,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",70.208,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",70.719,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",71.122,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",71.526,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",71.921,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.12,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.297,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.537,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.596,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.495,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.568,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.675,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.652,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.74,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.752,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.843,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",72.915,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.19,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.211,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.298,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.546,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.547,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",73.728,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.039,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.089,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.247,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.366,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.472,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.727,"Life Expectancy"
"country/BRB","BB","Barbados","LifeExpectancy_Person","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","Year","yr",74.89,"Life Expectancy"
