"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.9719045302,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.8864806586,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.9869343044,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",1.0056313348,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",1.0195475722,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",1.0582500132,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.8514805949,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.5847108548,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.3630642724,"Rate of Population Growth"
"country/BRB","BB","Barbados","GrowthRate_Count_Person","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",-0.0228534314,"Rate of Population Growth"
