"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Count_Person_Urban","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",84916,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",85913,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",86849,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",87884,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",88948,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",90036,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",91173,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",92133,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",92855,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",93374,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",93645,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",94208,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",95045,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",95951,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",96780,"Population Living in Urban Areas"
"country/BRB","BB","Barbados","Count_Person_Urban","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",97594,"Population Living in Urban Areas"
