"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.1318595,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.1287168,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.1301985,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.1281771,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.2011263,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.2270667,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.1981777,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.3210928,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.2744123,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.2906154,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.2993282,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.286243,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.3149998,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.3157781,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.3017642,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.3008956,"Fraction of Government Expenditure on Tertiary Education"
"country/BRB","BB","Barbados","Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",0.2990298,"Fraction of Government Expenditure on Tertiary Education"
