placeDcid,placeName,Date:Count_FireEvent,Value:Count_FireEvent,Source:Count_FireEvent
wikidataId/Q1626524,Christ Church,2012-03,2,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2012-04,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2012-05,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2012-06,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2012-07,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2012-11,2,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2013-02,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2013-03,3,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2013-04,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2013-10,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2014-03,2,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2014-04,2,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2014-05,2,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2015-05,3,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2015-06,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2015-07,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2016-02,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2016-03,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2017-04,2,https://firms.modaps.eosdis.nasa.gov/active_fire/
wikidataId/Q1626524,Christ Church,2017-05,1,https://firms.modaps.eosdis.nasa.gov/active_fire/
