placeDcid,placeName,Date:Area_FloodEvent,Value:Area_FloodEvent,Source:Area_FloodEvent
wikidataId/Q1626524,Christ Church,2015-12,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2016-03,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2016-08,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2016-12,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-02,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-07,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-10,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-11,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-12,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-01,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-02,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-03,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-05,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-06,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-07,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-08,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-09,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-10,5.81,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-11,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-12,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-01,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-02,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-03,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-04,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-05,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-06,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-07,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-08,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-11,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-12,5.81,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-01,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-02,4.842,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-03,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-04,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-05,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-06,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-07,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-08,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-09,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-10,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-11,5.81,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-12,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-01,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-02,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-03,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-04,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-05,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-06,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-07,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-08,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-09,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-10,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-11,4.842,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2021-12,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-01,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-02,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-03,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-06,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-07,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
